"1","妙蛙種子","フシギダネ","Bulbasaur","2018-11-20 00:00:00","2018-11-20 00:00:00"
"2","妙蛙草","フシギソウ","Ivysaur","2018-11-20 00:00:00","2018-11-20 00:00:00"
"3","妙蛙花","フシギバナ","Venusaur","2018-11-20 00:00:00","2018-11-20 00:00:00"
"4","小火龍","ヒトカゲ","Charmander","2018-11-20 00:00:00","2018-11-20 00:00:00"
"5","火恐龍","リザード","Charmeleon","2018-11-20 00:00:00","2018-11-20 00:00:00"
"6","噴火龍","リザードン","Charizard","2018-11-20 00:00:00","2018-11-20 00:00:00"
"7","傑尼龜","ゼニガメ","Squirtle","2018-11-20 00:00:00","2018-11-20 00:00:00"
"8","卡咪龜","カメール","Wartortle","2018-11-20 00:00:00","2018-11-20 00:00:00"
"9","水箭龜","カメックス","Blastoise","2018-11-20 00:00:00","2018-11-20 00:00:00"
"10","綠毛蟲","キャタピー","Caterpie","2018-11-20 00:00:00","2018-11-20 00:00:00"
"11","鐵甲蛹","トランセル","Metapod","2018-11-20 00:00:00","2018-11-20 00:00:00"
"12","巴大蝶","バタフリー","Butterfree","2018-11-20 00:00:00","2018-11-20 00:00:00"
"13","獨角蟲","ビードル","Weedle","2018-11-20 00:00:00","2018-11-20 00:00:00"
"14","鐵殼蛹","コクーン","Kakuna","2018-11-20 00:00:00","2018-11-20 00:00:00"
"15","大針蜂","スピアー","Beedrill","2018-11-20 00:00:00","2018-11-20 00:00:00"
"16","波波","ポッポ","Pidgey","2018-11-20 00:00:00","2018-11-20 00:00:00"
"17","比比鳥","ピジョン","Pidgeotto","2018-11-20 00:00:00","2018-11-20 00:00:00"
"18","大比鳥","ピジョット","Pidgeot","2018-11-20 00:00:00","2018-11-20 00:00:00"
"19","小拉達","コラッタ","Rattata","2018-11-20 00:00:00","2018-11-20 00:00:00"
"20","拉達","ラッタ","Raticate","2018-11-20 00:00:00","2018-11-20 00:00:00"
"21","烈雀","オニスズメ","Spearow","2018-11-20 00:00:00","2018-11-20 00:00:00"
"22","大嘴雀","オニドリル","Fearow","2018-11-20 00:00:00","2018-11-20 00:00:00"
"23","阿柏蛇","アーボ","Ekans","2018-11-20 00:00:00","2018-11-20 00:00:00"
"24","阿柏怪","アーボック","Arbok","2018-11-20 00:00:00","2018-11-20 00:00:00"
"25","皮卡丘","ピカチュウ","Pikachu","2018-11-20 00:00:00","2018-11-20 00:00:00"
"26","雷丘","ライチュウ","Raichu","2018-11-20 00:00:00","2018-11-20 00:00:00"
"27","穿山鼠","サンド","Sandshrew","2018-11-20 00:00:00","2018-11-20 00:00:00"
"28","穿山王","サンドパン","Sandslash","2018-11-20 00:00:00","2018-11-20 00:00:00"
"29","尼多蘭","ニドラン♀","Nidoran-F","2018-11-20 00:00:00","2018-11-20 00:00:00"
"30","尼多娜","ニドリーナ","Nidorina","2018-11-20 00:00:00","2018-11-20 00:00:00"
"31","尼多後","ニドクイン","Nidoqueen","2018-11-20 00:00:00","2018-11-20 00:00:00"
"32","尼多朗","ニドラン♂","Nidoran-M","2018-11-20 00:00:00","2018-11-20 00:00:00"
"33","尼多力諾","ニドリーノ","Nidorino","2018-11-20 00:00:00","2018-11-20 00:00:00"
